xd,road-name,road-num,bearing,miles,frc,county,state,zip,timezone_name,start_latitude,start_longitude,end_latitude,end_longitude
134432466,FARGO DR,,W,0.054781656342816,5,HENRICO,VA,23229,America/New_York,37.60729,-77.56245,37.60732,-77.56345
135680410,GREENWAY AVE,,W,0.103094142973589,5,HENRICO,VA,23228,America/New_York,37.60611,-77.47939,37.60602,-77.48127
135014307,IMPALA DR,,N,0.07918417088733,5,HENRICO,VA,23228,America/New_York,37.61314,-77.49013,37.61425,-77.49049
388660847,TELEGRAPH RD,,N,0.077844021628108,5,HENRICO,VA,23060,America/New_York,37.65051,-77.45602,37.6516,-77.45566
388660848,NEW YORK AVE,,W,0.074899697715263,5,HENRICO,VA,23060,America/New_York,37.65014,-77.46686,37.64979,-77.46813
132257691,TUCKERNUCK DR,,N,0.165791706093397,4,HENRICO,VA,23294,America/New_York,37.63651,-77.54987,37.63865,-77.5485
388660845,NEW YORK AVE,,E,0.144117389365842,5,HENRICO,VA,23060,America/New_York,37.65112,-77.46225,37.6517,-77.45972
388660846,NEW YORK AVE,,E,0.113232052526259,5,HENRICO,VA,23060,America/New_York,37.65067,-77.46424,37.65112,-77.46225
133004436,RUTGERS DR,,W,0.104866898790859,4,HENRICO,VA,23233,America/New_York,37.63938,-77.62953,37.64037,-77.63097
388660844,TELEGRAPH RD,,N,0.076507835582362,5,HENRICO,VA,23060,America/New_York,37.6516,-77.45566,37.65267,-77.4553
1310313391,THREE CHOPT RD,,W,0.010517636129,4,HENRICO,VA,23233,America/New_York,37.63072,-77.5776,37.63085,-77.5777
388458876,OLD WYNDHAM DR,,W,0.055624072092639,5,HENRICO,VA,23059,America/New_York,37.69514,-77.62386,37.69438,-77.62419
134873128,HEATHERFORD DR,,W,0.009862118960849,5,HENRICO,VA,23059,America/New_York,37.68985,-77.61088,37.68994,-77.61102
1310289986,NEW MARKET RD,5,E,0.849317795126872,4,HENRICO,VA,23231,America/New_York,37.45424,-77.37088,37.44707,-77.35839
132187250,GREY OAKS PARK DR,,S,0.057331258297004,5,HENRICO,VA,23059,America/New_York,37.68062,-77.61435,37.68009,-77.61515
132279009,OLD NUCKOLS RD,,E,0.101251191819073,5,HENRICO,VA,23059,America/New_York,37.68409,-77.59584,37.68382,-77.59402
